"Date_case","Cases","Date_death","Deaths","Date_recovery","Recoveries","NA"
2021-02-14,3,2021-02-14,1,2021-02-14,0,FALSE
2021-02-15,3,2021-02-15,1,2021-02-15,0,FALSE
2021-02-16,3,2021-02-16,1,2021-02-16,0,FALSE
2021-02-17,3,2021-02-17,1,2021-02-17,0,FALSE
2021-02-18,3,2021-02-18,1,2021-02-18,0,FALSE
2021-02-19,3,2021-02-19,1,2021-02-19,0,FALSE
2021-02-20,4,2021-02-20,1,2021-02-20,0,FALSE
2021-02-21,4,2021-02-21,1,2021-02-21,0,FALSE
2021-02-22,4,2021-02-22,2,2021-02-22,0,FALSE
2021-02-24,5,2021-02-24,1,2021-02-24,2,FALSE
2021-02-25,11,2021-02-25,2,2021-02-25,2,FALSE
2021-02-26,11,2021-02-26,2,2021-02-26,2,FALSE
2021-02-27,13,2021-02-27,2,2021-02-27,2,FALSE
2021-02-28,13,2021-02-28,2,2021-02-28,2,FALSE
2021-03-01,13,2021-03-01,3,2021-03-01,2,FALSE
2021-03-02,13,2021-03-02,3,2021-03-02,2,FALSE
2021-03-03,13,2021-03-03,3,2021-03-03,2,FALSE
2021-03-04,14,2021-03-04,4,2021-03-04,2,FALSE
2021-03-05,14,2021-03-05,4,2021-03-05,3,FALSE
2021-03-06,14,2021-03-06,4,2021-03-06,3,FALSE
2021-03-07,14,2021-03-07,4,2021-03-07,4,FALSE
2021-03-08,14,2021-03-08,4,2021-03-08,4,FALSE
2021-03-09,14,2021-03-09,4,2021-03-09,4,FALSE
2021-03-10,14,2021-03-10,4,2021-03-10,4,FALSE
2021-03-11,14,2021-03-11,4,2021-03-11,4,FALSE
2021-03-12,14,2021-03-12,4,2021-03-12,6,FALSE
2021-03-14,14,2021-03-14,4,2021-03-14,6,FALSE
2021-03-15,14,2021-03-15,4,2021-03-15,6,FALSE
2021-03-16,14,2021-03-16,4,2021-03-16,7,FALSE
2021-03-17,14,2021-03-17,4,2021-03-17,8,FALSE
2021-03-18,14,2021-03-18,4,2021-03-18,8,FALSE
2021-03-19,14,2021-03-19,4,2021-03-19,8,FALSE
2021-03-20,14,2021-03-20,4,2021-03-20,8,FALSE
2021-03-22,14,2021-03-22,4,2021-03-22,8,FALSE
2021-03-23,14,2021-03-23,5,2021-03-23,8,FALSE
2021-03-24,14,2021-03-24,5,2021-03-24,8,FALSE
2021-03-25,14,2021-03-25,5,2021-03-25,8,FALSE
2021-03-26,14,2021-03-26,5,2021-03-26,8,FALSE
2021-03-27,14,2021-03-27,5,2021-03-27,8,FALSE
2021-03-28,14,2021-03-28,5,2021-03-28,8,FALSE
2021-03-29,14,2021-03-29,5,2021-03-29,8,FALSE
2021-03-30,14,2021-03-30,6,2021-03-30,8,FALSE
2021-03-31,14,2021-03-31,6,2021-03-31,8,FALSE
2021-04-01,15,2021-04-01,6,2021-04-01,8,FALSE
2021-04-02,15,2021-04-02,6,2021-04-02,8,FALSE
2021-04-03,16,2021-04-03,7,2021-04-03,8,FALSE
2021-04-04,16,2021-04-04,7,2021-04-04,8,FALSE
2021-04-05,16,2021-04-05,7,2021-04-05,8,FALSE
2021-04-06,16,2021-04-06,7,2021-04-06,8,FALSE
2021-04-07,16,2021-04-07,7,2021-04-07,8,FALSE
2021-04-08,16,2021-04-08,7,2021-04-08,8,FALSE
2021-04-09,16,2021-04-09,7,2021-04-09,8,FALSE
2021-04-10,16,2021-04-10,7,2021-04-10,8,FALSE
2021-04-11,16,2021-04-11,7,2021-04-11,8,FALSE
2021-04-12,16,2021-04-12,7,2021-04-12,8,FALSE
2021-04-13,16,2021-04-13,7,2021-04-13,8,FALSE
2021-04-14,16,2021-04-13,7,2021-04-13,8,TRUE
2021-04-15,16,2021-04-15,7,2021-04-15,8,FALSE
2021-04-16,16,2021-04-15,7,2021-04-15,8,TRUE
2021-04-17,16,2021-04-17,7,2021-04-17,8,FALSE
2021-04-18,16,2021-04-18,7,2021-04-18,8,FALSE
2021-04-19,16,2021-04-18,7,2021-04-18,8,TRUE
2021-04-20,16,2021-04-20,7,2021-04-20,8,FALSE
2021-04-21,16,2021-04-21,7,2021-04-21,8,FALSE
2021-04-22,16,2021-04-22,7,2021-04-22,8,FALSE
2021-04-23,16,2021-04-23,7,2021-04-23,8,FALSE
2021-04-24,16,2021-04-24,7,2021-04-24,9,FALSE
2021-04-25,16,2021-04-25,7,2021-04-25,9,FALSE
2021-04-26,16,2021-04-26,7,2021-04-26,9,FALSE
2021-04-27,16,2021-04-27,5,2021-04-27,9,FALSE
2021-04-28,16,2021-04-28,5,2021-04-28,9,FALSE
2021-04-29,16,2021-04-29,5,2021-04-29,9,FALSE
2021-04-30,16,2021-04-30,5,2021-04-30,9,FALSE
2021-05-01,16,2021-05-01,5,2021-05-01,9,FALSE
2021-05-02,16,2021-05-02,5,2021-05-02,9,FALSE
2021-05-03,16,2021-05-03,5,2021-05-03,9,FALSE
2021-05-04,16,2021-05-04,5,2021-05-04,9,FALSE
2021-05-05,16,2021-05-05,5,2021-05-05,9,FALSE
2021-05-06,16,2021-05-06,5,2021-05-06,9,FALSE
2021-05-07,16,2021-05-07,5,2021-05-07,9,FALSE
2021-05-08,16,2021-05-08,5,2021-05-08,9,FALSE
2021-05-09,16,2021-05-09,5,2021-05-09,9,FALSE
2021-05-11,16,2021-05-11,5,2021-05-11,9,FALSE
2021-05-12,16,2021-05-12,5,2021-05-12,9,FALSE
2021-05-13,16,2021-05-13,5,2021-05-13,9,FALSE
2021-05-14,16,2021-05-14,5,2021-05-14,9,FALSE
2021-05-15,16,2021-05-15,5,2021-05-15,9,FALSE
2021-05-16,16,2021-05-16,5,2021-05-16,9,FALSE
2021-05-17,16,2021-05-17,5,2021-05-17,9,FALSE
2021-05-18,16,2021-05-18,5,2021-05-18,9,FALSE
2021-05-19,16,2021-05-19,5,2021-05-19,9,FALSE
2021-05-20,16,2021-05-20,5,2021-05-20,9,FALSE
2021-05-21,16,2021-05-21,5,2021-05-21,9,FALSE
2021-05-22,16,2021-05-22,5,2021-05-22,9,FALSE
2021-05-23,16,2021-05-23,5,2021-05-23,9,FALSE
2021-05-24,16,2021-05-24,5,2021-05-24,9,FALSE
2021-05-25,16,2021-05-25,5,2021-05-25,9,FALSE
2021-05-26,16,2021-05-26,5,2021-05-26,10,FALSE
2021-05-27,16,2021-05-27,5,2021-05-27,10,FALSE
2021-05-28,16,2021-05-28,5,2021-05-28,10,FALSE
2021-05-29,16,2021-05-29,5,2021-05-29,10,FALSE
2021-05-30,16,2021-05-30,5,2021-05-30,10,FALSE
2021-05-31,16,2021-05-31,5,2021-05-31,10,FALSE
2021-06-01,16,2021-06-01,5,2021-06-01,10,FALSE
2021-06-02,16,2021-06-02,5,2021-06-02,10,FALSE
2021-06-03,16,2021-06-03,5,2021-06-03,10,FALSE
2021-06-04,16,2021-06-04,5,2021-06-04,10,FALSE
2021-06-05,16,2021-06-05,5,2021-06-05,10,FALSE
2021-06-06,16,2021-06-06,5,2021-06-06,10,FALSE
2021-06-07,16,2021-06-07,5,2021-06-07,10,FALSE
2021-06-08,16,2021-06-08,5,2021-06-08,10,FALSE
2021-06-09,16,2021-06-09,5,2021-06-09,10,FALSE
2021-06-10,16,2021-06-10,5,2021-06-10,10,FALSE
2021-06-11,16,2021-06-11,5,2021-06-11,10,FALSE
2021-06-12,16,2021-06-12,5,2021-06-12,10,FALSE
2021-06-13,16,2021-06-13,5,2021-06-13,10,FALSE
2021-06-14,16,2021-06-14,5,2021-06-14,10,FALSE
2021-06-16,16,2021-06-16,5,2021-06-16,10,FALSE
2021-06-18,16,2021-06-18,5,2021-06-18,10,FALSE
2021-06-19,16,2021-06-19,5,2021-06-19,10,FALSE
