group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.5789473684210527,0.40821445411990515,0.7369017627485158,38,22,9,2012
False,resolved,0.7096774193548387,0.5196393417710907,0.857771470902475,38,22,9,2012
False,delay_adjusted,0.6111,0.4484,0.7586,38,22,9,2012
False,competing_risks,0.5945945945945946,0.43209909311468686,0.7387103829510482,38,22,9,2012
False,kaplan_meier_ghani,0.7096774193548387,0.5557101404148926,0.8269074148700153,38,22,9,2012
False,parametric_mixture,0.754353148811294,0.19726378213268192,0.8736495193825697,38,22,9,2012
True,naive,0.45454545454545453,0.16748809406370713,0.7662064023406548,11,5,4,2012
True,resolved,0.5555555555555556,0.212008506778868,0.8630043377348335,11,5,4,2012
True,delay_adjusted,0.5556,0.2487,0.8346,11,5,4,2012
True,competing_risks,0.48484848484848486,0.21456881111435372,0.7642914522740939,11,5,4,2012
True,kaplan_meier_ghani,0.48484848484848486,0.44557463596406327,0.5243103633474081,11,5,4,2012
True,parametric_mixture,0.5144431270772006,0.22117262839293805,0.8097741670844212,11,5,4,2012
