group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.7320261437908496,0.6545032956719303,0.8003324412765145,153,112,27,1995
False,resolved,0.8057553956834532,0.7301128783642399,0.8679167068723416,153,112,27,1995
False,delay_adjusted,0.7368,0.6633,0.8024,153,112,27,1995
False,competing_risks,0.7457107843137254,0.6638907315446273,0.8132169103765697,153,112,27,1995
False,kaplan_meier_ghani,0.7938682322243966,0.7310173971016124,0.8451442395498718,153,112,27,1995
False,parametric_mixture,0.7408463414144957,0.6660159552753762,0.8082784583475704,153,112,27,1995
True,naive,0.8148148148148148,0.7388862036632139,0.8764263076017159,135,110,18,1995
True,resolved,0.859375,0.7868852306125594,0.9144767702780331,135,110,18,1995
True,delay_adjusted,0.8148000000000001,0.7438,0.874,135,110,18,1995
True,competing_risks,0.8148148148148152,0.7402648828635167,0.8716764319704476,135,110,18,1995
True,kaplan_meier_ghani,0.8527131782945737,0.7925574426193126,0.8976766709812691,135,110,18,1995
True,parametric_mixture,0.8148274546375631,0.7437114565964212,0.8741098453119812,135,110,18,1995
