group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.375,0.15198367508112207,0.6456539056979218,16,6,7,2022
False,resolved,0.46153846153846156,0.19223244180128798,0.7486545177296964,16,6,7,2022
False,delay_adjusted,0.4,0.18280000000000002,0.6489,16,6,7,2022
False,competing_risks,0.40364583333333337,0.189503368684731,0.6620955260321159,16,6,7,2022
False,kaplan_meier_ghani,0.4441260744985674,0.27387013299866,0.6285984340262885,16,6,7,2022
False,parametric_mixture,0.4570345968627801,0.20045184816081532,0.7150128883555769,16,6,7,2022
True,naive,0.42857142857142855,0.1766110899821179,0.7113905999616925,14,6,8,2022
True,resolved,0.42857142857142855,0.1766110899821179,0.7113905999616925,14,6,8,2022
True,delay_adjusted,0.4615,0.2164,0.7206,14,6,8,2022
True,competing_risks,0.4285714285714286,0.2064950064707319,0.6836981322320473,14,6,8,2022
True,kaplan_meier_ghani,0.4285714285714286,,,14,6,8,2022
True,parametric_mixture,0.42857051627198717,0.1980324710022616,0.6831854341168391,14,6,8,2022
