group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.6041666666666666,0.4526958009106796,0.7423010271535913,48,29,0,2014
False,resolved,,,,48,29,0,2014
False,delay_adjusted,0.6042000000000001,0.4631,0.7343000000000001,48,29,0,2014
False,competing_risks,,,,48,29,0,2014
False,kaplan_meier_ghani,,,,48,29,0,2014
False,parametric_mixture,,,,48,29,0,2014
True,naive,0.75,0.3491442055871758,0.9681459737500557,8,6,0,2014
True,resolved,,,,8,6,0,2014
True,delay_adjusted,0.8571000000000001,0.5062,0.9912000000000001,8,6,0,2014
True,competing_risks,,,,8,6,0,2014
True,kaplan_meier_ghani,,,,8,6,0,2014
True,parametric_mixture,,,,8,6,0,2014
