group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.6764705882352942,0.4947346991014954,0.8261165725060786,34,23,7,2012
False,resolved,0.7666666666666667,0.5771634770217805,0.9006621350419802,34,23,7,2012
False,delay_adjusted,0.6970000000000001,0.5296000000000001,0.8349000000000001,34,23,7,2012
False,competing_risks,0.6764705882352942,0.5047743770490883,0.810935424072746,34,23,7,2012
False,kaplan_meier_ghani,0.7666666666666666,0.6145096783405596,0.8713400617768642,34,23,7,2012
False,parametric_mixture,0.6767935594627891,0.5106848010712352,0.8172141360858681,34,23,7,2012
True,naive,0.36363636363636365,0.10926344381909811,0.6920952849883228,11,4,5,2012
True,resolved,0.4444444444444444,0.1369956622651665,0.787991493221132,11,4,5,2012
True,delay_adjusted,0.4444,0.16540000000000002,0.7513000000000001,11,4,5,2012
True,competing_risks,0.36363636363636365,0.14330727224926382,0.6612470972960038,11,4,5,2012
True,kaplan_meier_ghani,0.4444444444444445,0.21957112304866694,0.6946353308658643,11,4,5,2012
True,parametric_mixture,0.5454309060549835,0.2654505621386509,0.8063339350751859,11,4,5,2012
