group,method,estimate,lower_ci,upper_ci,n,n_deaths,n_recoveries,outbreak_year
False,naive,0.392,0.3059309973746162,0.48330986957100075,125,49,71,2022
False,resolved,0.4083333333333333,0.31950487206573147,0.5017966216253057,125,49,71,2022
False,delay_adjusted,0.4118,0.326,0.5013000000000001,125,49,71,2022
False,competing_risks,0.39286956521739136,0.3111185591032695,0.48109979527192154,125,49,71,2022
False,kaplan_meier_ghani,0.40177856825255676,0.34199088960009383,0.46463787625486475,125,49,71,2022
False,parametric_mixture,0.4152811193865736,0.3300026976426654,0.5040808429232096,125,49,71,2022
True,naive,0.4,0.16336432385951347,0.6771302337937184,15,6,9,2022
True,resolved,0.4,0.16336432385951347,0.6771302337937184,15,6,9,2022
True,delay_adjusted,0.42860000000000004,0.1981,0.6831,15,6,9,2022
True,competing_risks,0.4000000000000001,0.19178443124513814,0.6519284177431064,15,6,9,2022
True,kaplan_meier_ghani,0.39999999999999997,0.24725200738356398,0.5750272043857625,15,6,9,2022
True,parametric_mixture,0.3999995724557199,0.1826677522509891,0.6489541017255495,15,6,9,2022
